type,county,name,address,hours,days
Food Pantry,Baltimore County,New Macedonia Bapt. Church,"6930 Liberty Rd, Balto. MD 21207","9am-6pm, 7pm-10pm, 1pm-6pm","Sun, Wed, Sat"
Food Pantry,Baltimore County,Our Lady Queen of Peace Ch.,"10003 Bird River Rd., Balto., MD 21220",9am-3pm,Mon-Fri
Food Pantry,Baltimore County,Perry Hall United Meth. Ch.,"9515 Belair Rd., Balto., MD 21236-1599",9am-5pm,Mon-Fri
Food Pantry,Baltimore County,Rising Sun Food Pantry,"2211 St. Lukes Lane",Call,"Sat,Sun"
Food Pantry,Baltimore County,Rock of Ages Church of God,"310 South Marlyn Ave., Baltimore, MD 21221",9am-2pm,Mon-Fri
Food Pantry,Baltimore County,Shining Star,"111832 Eastern Ave., Baltimore, MD 21220",10am-2pm,Mon-Fri
Food Pantry,Baltimore County,St. Luke's Lutheran Church,"1803 Dundalk Ave., Balto., MD 21222",9am-2pm,"Tue,Th,Fri"
Food Pantry,Baltimore County,St. Luke's United Meth. Ch.,"2119 Gwynn Oak Ave., Woodlawn, MD 21207",9am-12noon,Mon-Fri
Food Pantry,Baltimore County,St. Peter Ev. Luth. Church,"7834 Eastern Blvd., Balto., MD 21224",9am-1pm,Mon-Fri
Food Pantry,Baltimore County,St. Stephen's AME Church,"1601 Old Eastern Ave., Baltimore, MD 21221",Varies,
Food Pantry,Baltimore County,Southwest Emergency Svcs.,"1201 Maple Ave., Balto., MD 21227","9am-12noon, 6pm-8pm","Mon-Fri, 1st Wed mt only"
Food Pantry,Baltimore County,Towson United Methodist Church Food Pantry,"501 Hampton Ln., Towson, MD 21286",6pm-7:30pm,Last Th mt.
Food Pantry,Calvert,Calvert Churches Community,"3800 Old Town Road, Huntingtown, MD 20639",10am-1pm,"Tue, Wed"
Food Pantry,Calvert,Catholic Charities,"P.O. Box 779, Prince Frederick MD 20678",9am-4:30pm,Mon-Fri
Food Pantry,Calvert,Dept. of Social Services,"200 Duke St. Prince Frederick MD 20678",8am-5pm,Mon-Fri
Food Pantry,Calvert,Emmanual Seventh Day Adventist,,,,
Food Pantry,Calvert,SMILE,"P.O. Box 1276, Solomons, MD 20688","10am-2pm, 10am-12pm","Wed, Thu, Sat"
Food Pantry,Calvert,At. Anthony's Ladies of Charity,"8820 Chesapeake Ave., P.O. Box 660 North Beach, MD 20614",12noon-2pm,Tue
Food Pantry,Caroline,St. Martin's Barn,"14376 Benedictine Lane Ridgely, MD 21660","8:30am-12pm, 6pm-8pm, By appointment","Tue,Fri, Wed, Mon & Th"
Food Pantry,Carroll,Westminster Food Bank,"10 Distillery Dr., P.O. Box 2160, Westminster, MD 21158","10am-11:15am, 1pm-2:15pm, 9am-12noon","Tue-Th, Sat"
Food Pantry,Carroll,Sykesville/Eldersburgh Food Bank St. Joseph's Cath. Ch.,"915 Liberty Rd., Eldersburgh, MD 21784",10am-1:00pm,Wed
Food Pantry,Carroll,Taneytown Food Bank St. Joseph's Catholic Church,"44 Frederick Street, Taneytown, MD 21787",9:30am-11:15am,Thur
Food Pantry,Cecil,Blythedale 7th Day Adventist Church,"48 Blythedale Rd., Perryville, MD 21903",,
Food Pantry,Cecil,Cecil County Help Center,"135 E. High St., Elkton, MD 21921",7:30am-4:30pm,Mon-Fri
Food Pantry,Cecil,Chesapeake Care,"80 Marysville Rd., North East, MD 21901",,
Food Pantry,Cecil,Clairvaux Farm Meeting Ground,"P.O. Box 808, Elkton, MD 21922",9am-4pm,Mon-Fri
Food Pantry,Cecil,First Baptist Ch. of NorthEast,"206 Mechanics Valley Rd., N.E., MD 21921",9am-4pm,Mon-Fri
Food Pantry,Cecil,Good Sheperd Church,"810 Aiken Ave., Perryville MD 21903",,
Food Pantry,Cecil,Immaculate Conception Outreach,"P.O. Box 345, Elkton, MD 21922",,
Food Pantry,Cecil,Ray of Hope Mission Center,"2084-C Tome Hway., Port Deposit, MD 21901",9am-4pm,Mon-Fri
Food Pantry,Charles,Calvary United Methodist,"3235 Leonardtown Rd., Waldorf, MD 20601",10am-4pm,Tue & Fri
Food Pantry,Charles,Forest Park Baptist,,,,
Food Pantry,Charles,Grace Lutheran/FISH,"P.O. Box 446",Vary/referrals only,Through DSS
Food Pantry,Charles,Hughesville Baptist Church,,,,
Food Pantry,Charles,St. Mary's Star of the Sea,"30 Mattingly Ave., Indian Head, MD 20640",9am-11am,1 Sat per mt.
Food Pantry,Charles,Assoc. Catholic Charities,"513 E. Charles St., La Plata, MD 20646","9am-5pm, 12pm-9pm","M,W,Th,F, Tu"
Food Pantry,Charles,Zion Wesley Utd. Methodist,"Rt. 228, P.O Box 972, Waldorf, MD 20604",8am-11am,3rd Sat. of mt.
Food Pantry,Charles,Free Will Baptist,"4028 Old Washington Rd., Waldorf, MD 20602",9:30am-1pm,Last Sat. of mt.
Food Pantry,Charles,St. Peter's St. Vincent dePaul,"3220 St. Peter's Drive, Waldorf, MD 20601",8am-4:30,Mon-Sat
Food Pantry,Charles,Children's Aid Society,"3000 Huntington Circle, Waldorf, MD 20602",9am-4:30pm,Mon-Fri
Food Pantry,Dorchester,Dorchester Community Development Corporation,"435 High St., P.O. Box 549, Cambridge, MD 21613",9am-4pm,Mon-Fri
Food Pantry,Frederick,Brunswick Food Bank 1st United Methodist Church,"7S. Maryland Ave., Brunswick, MD",6:30pm-8pm,Th
Food Pantry,Frederick,Emmitsburg Food Bank Community Center,"300 S. Seton Ave., Emmitsburg, MD 21727",10am-12noon,Th
Food Pantry,Frederick,Frederick Community Action Council,"100 S. Market Street, Frederick, MD 21701","2pm-4pm, 7pm-9pm","M, T, Th, F, Wed"
Food Pantry,Frederick,Jefferson Food Bank St. Paul's Lutheran Church,"3864 Jefferson Pike, Jefferson, MD 21755",10am-11:30am,1st & 3rd Sat
Food Pantry,Frederick,Middletown Food Bank,"301 W. Main St., Community Building Middletown, MD 21769","1pm-3pm, 12pm-2pm","Wed, Fri"
Food Pantry,Frederick,Thermont Food Bank Apple United Church,"Apples Church Road, Thurmont, MD 21788","6pm-8pm, 12pm-2pm","Tue, Fri"
Food Pantry,Frederick,Walkersville Food Bank Town Hall,"21 West Frederick St., Walkersville, MD 21231","6:30pm-8:30pm, 10am-4pm","Mon, Th"
Food Pantry,Garrett,No food pantries,,,,
Food Pantry,Harford,AME Refuge Temple Church,"116 Spesutia Rd., Aberdeen, MD 21001",Call,Call
Food Pantry,Harford,Bread of Life,"3716 Dublin Rd., Darlington, MD 21034",,Sundays
Food Pantry,Harford,Care Night MT. Zion Church,"1918 High Point Rd., Forest Hill, 21050",Evenings,Monday
Food Pantry,Harford,Community Action Agency,"33 W. Courtland St., Bel Air, MD 21014",8:30am-4:30pm,Mon-Fri
Food Pantry,Harford,Fish-St. Paul's Lutheran Ch.,"428 Battery Drive, Havre de Grace, MD 21078",On-call,Daily
Food Pantry,Harford,Fish-Bel Air Calvary Baptist,"206 E. Courtland St., Bel Air, MD 21014",Call,Daily
Food Pantry,Harford,Grove Presbyterian Church,"50 East Belair Ave., Aberdeen, MD 21001",7:30pm-8:30pm,Wed
Food Pantry,Harford,Manna House-Bel Air United Methodist Church,"21 Linwood Ave., Bel Air, MD 21014",11:30am-1pm,Wed
Food Pantry,Harford,Mason Dickson,"708 Highland Rd. PO Box 34, MD 21014",9:30am-12:30pm,Mon-Th
Food Pantry,Harford,N.I.N. Sr. Baskets-Bel Air United Methodist Church,"21 Linwood Ave., Bel Air, MD 21014",,4th Thu
Food Pantry,Harford,Neighbors In Need,"29 W. Courtland St, Bel Air, MD 21014",Holiday Program,
Food Pantry,Harford,Salvation Army,"300 Rear Seneca Ave., Havre de Grace, MD 21078",9am-3pm,Mon-Fri
Food Pantry,Harford,Sharing Table-Presby United Methodist Church,"3479 Albantowne Way, Edgewood, MD 21040",,Sat
Food Pantry,Harford,St. Joan of Arc Church,"257 Law Street, Aberdeen, MD 21001",9am-4pm,Mon-Fri
Food Pantry,Harford,St. Matthew's Church,802 Maxa Rd.,Call,
Food Pantry,Harford,Trinity Lutheran Church,"1100 Philadelphia Rd., Joppa, MD 21085",,Th
Food Pantry,Howard,Bethany Lane Baptist Church,"3030 Bethany Lane, Ellicott City, MD 21042",Call,
Food Pantry,Howard,Bethel Assembly of God,"P.O. Box 416, Savage, MD 20763",10am-2pm,Mon-Fri
Food Pantry,Howard,Bridgeway Community Cupboard,"6148 Cedar Wood Dr., Columbia, MD 21044",Call,
Food Pantry,Howard,Elkridge Food Pantry,"5646 Furnance Ave, Elkridge, MD",6pm-8pm,4th Friday
Food Pantry,Howard,First Baptist Church of Savage,"Corner of Washington and Woodward Street in Savage","6:30pm-7:30pm, 9am-11am","Wed, Fri, Sat"
Food Pantry,Howard,FISH,"P.O. Box 34, Ellicott City, MD 21041",Call,Mon-Fri
Food Pantry,Howard,Locust United Methodist Church,"Corner of Martin and Freetown Rd.",,"Mon, Wed, Fri, Sat"
Food Pantry,Howard,Long Reach Church of God,"6080 Foreland Garth, Columbia, MD",5:30pm-6pm,Fri
Food Pantry,Howard,Mt. Pisgah AME Church,"5901 Cedar Fern Court, Columbia, MD 21044","11am-5pm, 10am-2pm","Weekdays, Saturday"
Food Pantry,Howard,St. John's Baptist Church,"8910 Old Annapolis Road, RT 100, Columbia, MD 20145",10am-1pm,3rd Sat
Food Pantry,Kent,Community Food Pantry,"Christ United Methodist Church, Chestertown, MD",10am-12noon,"Tue,Fri"
Food Pantry,Montgomery,ARC of Montgomery County,"11600 Nebel St., Rockville, MD 20852",Group Home,
Food Pantry,Montgomery,Catholic Charities,"1438 Rhode Island Ave., NE Washington, DC 20018",Shelters,
Food Pantry,Montgomery,Community Ministries of Montgomery County,"114 W. Montgomery Ave., Rockville, MD 20850",Shelter,
Food Pantry,Montgomery,National Center for Children and Families Grentree Shelter,"6301 Greentree Rd, Bethesda, MD 20817",Shelter,
Food Pantry,Montgomery,Community Services for Autistic Adult and Children,"751 Twimbrook Parkway, Rockville, MD 20851",Group Home,
Food Pantry,Montgomery,Community Support Service,"204-206 North Adams Street, Rockville, MD 20850",Group Home,
Food Pantry,Montgomery,Helping Hands,"622 N. Horners Lane, Rockville, MD 20850",Shelter,
Food Pantry,Montgomery,Hanna's Aftercare and Rehabilitation Center,"1201 Millgrove Road, Silver Spring, MD 20905",Transitional Home,
Food Pantry,Montgomery,Head Injury Rehabilitation and Referral Services,"One Church St., Suite 102, Rockville, MD 20850",Group Home,
Food Pantry,Montgomery,Montgomery County Coalition for the Homeless,"600 B East Gude Drive, Rockville, MD 20850",Shelters,
Food Pantry,Montgomery,Montgomery Ave. Women's Shelter,"12250 Wilkins Ave., Rockville, MD 20850",Women's Shelter,
Food Pantry,Montgomery,Outpatient Addiction Services,"751 Twimbrook Parkway 2nd Floor, Rockville, MD 20851",Daytime Shelter,
Food Pantry,Montgomery,Stepping Stones,"P.O. Box 712 Rockville, MD 20848",Family Shelter,
Food Pantry,Montgomery,Vanguard Services Unlimited,"1 Lawrence Court, Rockville, MD 20850",Halfway house,
Food Pantry,Montgomery,Watkins Mill House,"20201 Watkins Mill Rd., Gaithersburg, MD 20886",Women's Shelter,
Food Pantry,Montgomery,Wells Robertson House,"1 Wells Avenue, Gaithersburg, MD 20877",Shelter,
Food Pantry,Prince George's,Adventist Community Services,"501 Sligo Ave., Silver Springs, MD 20910",10am-12pm,Mon-Thu
Food Pantry,Prince George's,Ager Road Methodist,"6301 Ager Rd., Hyattsville, MD 20782",9:30am-11:15am,Th (by appt.)
Food Pantry,Prince George's,Breath of Life Ministries,"5400A Kenilworth Ave., Riverdale, MD 20737",8am-1pm,Wed
Food Pantry,Prince George's,Community Support Systems,"13500 Baden-Westwood Rd., Brandywine, MD 20613",9:30am-11:30am,"Wed, Fri (by appt.)"
Food Pantry,Prince George's,First Baptist Church of Suitland,"5400 Silver Hill Rd., Suitland, MD 20747",9am-4pm,Mon-Fri
Food Pantry,Prince George's,"Fish of Greater Laurel, Inc.","308 Gorman Ave., Laurel MD 20724",11am-2pm,"Tue,Th,Sat (by appt.)"
Food Pantry,Prince George's,Church of the Living God,"1417 Chilum Rd., Hayattsville, MD 20782",10am-12pm,Sat
Food Pantry,Prince George's,G.A. Fitzgerald Community,"1250 Benning Rd., Capitol Hgts., MD 20743",10am-2pm,Mon & Wed
Food Pantry,Prince George's,Galilee Baptist Church,"2101 Shadyside Ave., Suitland, MD 20746",9:30am-3pm,Mon-Thu
Food Pantry,Prince George's,Gethsemane United Methodist,"901 Addison Rd., Capitol Heights, MD 20743",10am-1pm,Mon-Thu
Food Pantry,Prince George's,Greater Spiritual Fellowship Church,"12788-B Old Forth Rd., Forth Washington, MD 20744",6pm-7pm,2nd Tues (by appt.)
Food Pantry,Prince George's,Harvest Temple Church of God,"6608 Wilkins Place, Forestville, MD",12pm-2pm,Tue-Thu (by appt.)
Food Pantry,Prince George's,Help By Phone,"6100 Westchester Park Dr., College Park, MD 20740","9am-5pm, 9am-12noon","Mon,Th, Fri (by appt.)"
Food Pantry,Prince George's,Hunter Memorial AME Church,"4719 Silver Hill Rd., Suitland, MD 20746",On Call,Mon-Fri
Food Pantry,Prince George's,ICAC/Oxon Hill Food Pantry,"4915 St. Barnabas Rd., Temple Hills, MD 20748","10am-1pm, 6pm-8pm","Tue,Sat, Th (walk in)"
Food Pantry,Prince George's,Langley Park-McCormick E.S-Pantry,"8201 15th Avenue, Hyattsville, MD 20783",2:30-3:30pm,Mon-Fri
Food Pantry,Prince George's,Laurel Advocacy Referral Services (LARS),"311 Laurel Ave., Laurel MD 20724","9am-2pm, 6:30pm-9pm","Mon,Wed,Fri, Mon (by appt.)"
Food Pantry,Prince George's,Lucille's Pantry,"6100 Jost Street, Fairmont Hgts., MD 20743",10am-2pm,"Wed,Fri (by appt.)"
Food Pantry,Prince George's,Mt Calvary Church,"6706 Marlboro Pike, Forestville, MD 20747",9:30am-11:30am,Mon & Th (by appt.)
Food Pantry,Prince George's,Oaklands Presbyterian Church,"14301 Laurel-Bowie Rd., Laurel, MD 20706",9am-2pm,Tue-Fri
Food Pantry,Prince George's,"Pregnancy Aid Center, Inc.","4809 Greenbelt Rd., College Park, MD 20740","9am-4pm, 9am-4:30pm, 9am-3pm","Mon, Wed, Tue, Thu, Fri"
Food Pantry,Prince George's,Refreshing Spring Church of God,"6201 Riverdale Rd., Riverdale, MD 20737","12pm-3pm, 9am-11am","Wed, Sat"
Food Pantry,Prince George's,Refuge of Hope Disciple Center,"2013-D Beaver Rd., Cheverly, MD 20785",10am-2pm,Mon-Fri (by appt.)
Food Pantry,Prince George's,Regeneration Development Group,"9244 E. Hampton Dr., Suite 514, Capitol Hgts., MD 20743",10am-1pm,Mon-Fri (by appt.)
Food Pantry,Prince George's,Sacred Heart Nursery,"4805 Queensbury Rd., Riverdale, MD 20737",Call,Nursery/daycare
Food Pantry,Prince George's,Salvation Army,"4825 Edmonston Rd., Hyattsville, MD 20781","9am-12noon, 1pm-4pm",Mon-Fri (by appt.)
Food Pantry,Prince George's,Shabach! Food Pantry,"2101 Kent Village Dr., Landover MD 20785",10am-2pm,"Mon-Fri, 2nd & 4th Sat (by appt.)"
Food Pantry,Prince George's,St. Joseph's Church,"2020 St. Joseph's Dr., Landover, MD 20785",1pm-2:30pm,"Wed,Sat (by appt.)"
Food Pantry,Prince George's,St. Margaret's Catholic Church,"408 Addison Rd., South Seat Pleasant, MD 20743",9:30am-12noon,"Tu,Fri (by appt.)"
Food Pantry,Prince George's,St. Paul United Methodist Church,"6634 St. Barnabas Rd., Oxon Hill, MD 20745",10am-12noon,Mon-Fri (by appt.)
Food Pantry,Prince George's,United Christian Mission,"7808 Marlboro Pike, Forestville, MD 20747",10am-1pm,Th (walk in)
Food Pantry,Prince George's,United Methodist Church of the Redeem,"1901 Iverson St., Temple Hills, MD 20748",9am-2pm,Mon-Fri (by appt.)
Food Pantry,Prince George's,United Communities Against Poverty (UCAP),"1400 Doewood Ln., Capitol Hgts., MD 20743","12:30pm-4:30pm, 8:30am-4:30pm","Mon-Thu, Fri (by appt.)"
Food Pantry,Prince George's,Walker Mill Outreach Center,"6974 Walker Mill Rd., Capitol Hgts., MD 20743",10am-2pm,Thu (by appt.)
Food Pantry,Queen Anne's,Kent Island Methodist Church,"P.O. Box 308, Chester, MD 21619",9am-11am,"Tue,Th (DSS referral)"
Food Pantry,Queen Anne's,Mother of Sorrows Catholic Church,"Centerville, MD 21617",Call,
Food Pantry,Queen Anne's,Sudlersville Methodist,"Sudlersville, MD 21668",10am-3pm,Tu-Fri
Food Pantry,St. Mary's,Catholic Charities,"21506 Cotton Point Ave., Avenue MD 20609","9am-5pm, 10am-6pm","M,T,W,F, Th"
Food Pantry,St. Mary's,HOPE,"2161 Grapemills Rd., Lexington Park, MD 20653",9am-12noon,Mon-Th
Food Pantry,St. Mary's,"Helping Hands, Inc","P.O. Box 1658, Leonardtown, MD 20650",10am-2pm,"M,W,F"
Food Pantry,St. Mary's,Trinity Lutheran Church,,,,
Food Pantry,St. Mary's,Zion United Methodist,"P.O. Box 341, Lexington Park, MD 20653",5:00pm-7pm,Th
Food Pantry,Somerset,Christ United Methodist Church,"27473 Fairmont Road, Upper Fairmount, MD 21867",9am-12pm,Sat (1 per month)
Food Pantry,Somerset,Community Relief Fund,140 Maryland Ave.,5:30pm-8:30pm,2nd & 4th Wed
Food Pantry,Somerset,Immanuel United Methodist Church,"206 West Main Street, Crisfield, MD 21817",9am-12pm,2nd & 4th Tue
Food Pantry,Somerset,Manna House,"3453 Lawsonia Road, Crisfield, MD 21817",1pm-3pm,1st & 3rd Mon
Food Pantry,Somerset,St. James,"8370 Crisfield Highway, Westover, MD 21871",10am-12pm,3rd & 4th Sat
Food Pantry,Somerset,Seaton Center,"30632 Hampden Ave., Princess Anne, MD 21853",1pm-4pm,Mon-Fri
Food Pantry,Talbot,Neighborhood Center,"126 Port St., Easton, MD 21601","9am-3pm, 9am-12noon","Mon,Th, Fri"
Food Pantry,Washington,Adventist Community Center,"50 E. Franklin St., Hagerstown, MD 21740",10am-3pm,"Tue,Th"
Food Pantry,Washington,Community Action Council,"110 Summit Ave., Hagerstown, MD 21740",8:30am-4:30pm,Mon-Fri
Food Pantry,Washington,Community Enrichment Coalition,"68 W. Church St., Hagerstown, MD 21740",10am-12pm,"Mon, Wed, Fri"
Food Pantry,Washington,Community Food Bank,"601 Washington Ave., Hagerstown, MD 21740",1pm-3pm,"Mon, Tue, Thu, Fri"
Food Pantry,Washington,Faith Chapel,"14 S. Potomac St., Hagerstown, MD 21740",10am-3pm,Mon-Fri
Food Pantry,Washington,Hancock Food Pantry,"Pa. Ave. & High St., Hancock, MD",9am-12noon,Mon-Fri
Food Pantry,Washington,"Office of Consumer Advocacy, Inc.","265 Mill Street, Hagerstown, MD 21740",As needed,
Food Pantry,Washington,Raven House,"32 East Ave., Hagerstown, MD 21740",11am-2pm,Tue
Food Pantry,Washington,SHIP,"116 W. High Street, Hancock, MD 21750",8am-4pm,Mon-Fri
Food Pantry,Washington,Salvation Army,"524 West Franklin Street, Hagerstown, MD 21740",9am-4pm,Mon-Fri
Food Pantry,Washington,South County Food Bank,"645 S. Main Street, Boonsboro, MD 21713",11:30am-3pm,Thu
Food Pantry,Washington,Trinity Food Pantry,"15 Randolph Ave., Hagerstown, MD 21740",10am-2pm,"Tue, Wed, Thu"
Food Pantry,Washington,Willamsport Food Bank,"35 W. Potomac St., Williamsport, MD 21785",10am-3pm,"Mon, Wed, Fri"
Food Pantry,Wicomico,Caring & Sharing,"2671 Bank Road, Nanticoke, MD 21840",11am-1pm,Thursday
Food Pantry,Wicomico,Cathedral of Love,"423 Church St., Salisbury, MD 21803",10am-12pm,Thursday
Food Pantry,Wicomico,1st Baptist Food Ministry,"528 Booth St., Salisbury, MD 21801",11am-2pm,1st Wed
Food Pantry,Wicomico,In His Service,"6724 Keyes Ln., Salisbury, MD 21804",Varies,Mon-Fri
Food Pantry,Wicomico,Joseph House,"812 Boundary St., P.O. Box 1755",9:30am-12noon,"Tue,Wed,Th"
Food Pantry,Wicomico,Lazarus Fund Pantry,"608 Riverside Dr., Salisbury, MD",10am-2pm,Tue
Food Pantry,Wicomico,New Beginning,"612 Dover St., Salisbury, MD 21804",4pm-6:30pm,Tue
Food Pantry,Wicomico,Riverside Homes,"519 Alabama Ave., Salisbury, MD 21801",10am-2pm,Mon-Fri
Food Pantry,Wicomico,R & J Reach Out,"1405 Flamingo Dr., Salisbury, MD 21801",9am-6pm,Mon-Fri
Food Pantry,Wicomico,Salvation Army,"407 Oak St., PO Box 3235 Salisbury, MD 21874","9am-12noon, 1pm-3pm",Mon-Fri
Food Pantry,Wicomico,Salisbury Evang. Church of Deliverance,"1503 West Rd., Salisbury, MD 21801",,
Food Pantry,Wicomico,Telamon,"237 Florida Ave., Salisbury, MD 21801",8am-4pm,Mon-Fri
Food Pantry,Wicomico,Wicomico Family Center,"317 Lemmon Hill Lane., Salisbury, MD 21801",9am-3:30pm,"Mon,Tue"
Food Pantry,Wicomico,Wesley Temple,"1322 West Rd., Salisbury, MD 21801",9am-12noon,"Mon,Wed,Fri"
Food Pantry,Wicomico,Westside Community Center,"20760 Cove Rd., Bivalve, MD 21814",1pm-4pm,Th
Food Pantry,Worcester,Amazing Grace Outreach,"7925 Circle Rd., Whaleyville, MD 21872",Call,
Food Pantry,Worcester,Diakonia Shelter,"12747 Old Bridge Rd., Ocean City, MD 21842",7am-10pm,Sun-Sat
Food Pantry,Worcester,Ebenezer Ecumenical Food Pantry,"107 Collins St., Snow Hill, MD 21863",9am-12:30pm,2nd Fri
Food Pantry,Worcester,Helping Hand Outreach Mission,"701 Ocean Highway, Pocomoke, MD 21851",Call,
Food Pantry,Worcester,P.A.C.E Enterprise Family Food Pantry,"5564 Market St., Snow Hill, MD 21863",Call,Call
Food Pantry,Worcester,Pentecostal Baptist Mission Pantry,"512 S. Main St., Berlin, MD 21811","9am-11:30am, 6pm-8pm","Tue, Wed"
Food Pantry,Worcester,Pocomoke Collaborative,"121-123 Willow Street, Pocomoke, MD 21851",Call,
Food Pantry,Worcester,Emergency Food Pantry,,,,
Food Pantry,Worcester,Save the Youth Inc.,"300 Second St., Pocomoke, MD 21851",Call,
Food Pantry,Worcester,"Samaritan Ministries, Inc.","814 Fourth St., P.O. Box 661 Pocomoke, MD 21851",1pm-2pm,"M,Tu,W,Sat"
Soup Kitchen,Anne Arundel,Asbury Methodist,"87 West St., Annapolis, MD 21401",1pm-3pm,Sat
Soup Kitchen,Anne Arundel,Damascus House,"4203 Ritchie Hwy, Balto., MD 21225",Call,
Soup Kitchen,Anne Arundel,Harundale Presb.,"1020 EastWay, Glen Burnie, MD 21060",12:30-2pm,Tue
Soup Kitchen,Anne Arundel,Salvation Army GB,"511 So. Crain Hwy., Glen Burnie, MD 21061",12pm-1pm,"Mon,Wed & Fri"
Soup Kitchen,Anne Arundel,Adventist Community Services,"510 Aquahart Rd., Glen Burnie, MD 21061",10am-1pm,Tue
Soup Kitchen,Baltimore City,American Rescue Workers of Maryland,"11 W. Clement St., Balto., MD 21230",,Everyday
Soup Kitchen,Baltimore City,Antioch Shelter Home,"2220 Harford Rd., Balto., MD 21218",24hrs,Shelter
Soup Kitchen,Baltimore City,Beans and Bread,"402 S. Bond St., Balto., MD 21231",Lunch,"M,Tu,Th,F,Sat"
Soup Kitchen,Baltimore City,Bethany Baptist,"2616 Ridgely St., Balto, MD 21230",,"Tue, Thu"
Soup Kitchen,Baltimore City,Bright Hope House,"1611 Baker St., Balto., MD 21217",,Everyday
Soup Kitchen,Baltimore City,Brown's Memorial Bapt. Ch.,"3215 W. Belvedere Ave., Balto., MD 21215",,Everyday
Soup Kitchen,Baltimore City,Calvary Temple,"4201 Pennington Ave., Balto., MD 21226",,Shelter
Soup Kitchen,Baltimore City,Christopher Place,"709 E. Eager St., Balto., MD 21202",,Everyday
Soup Kitchen,Baltimore City,Corpus Christi Church,"703 Whitelock St., Balto., MD 21217",,"Tu,Th"
Soup Kitchen,Baltimore City,Doswell Cathedral,"520 Doswell Ave., Balto., MD 21223",1pm-5pm,Th
Soup Kitchen,Baltimore City,East Balto. Church of God,"2043 E. Baltimore St., Balto., MD 21231",,
Soup Kitchen,Baltimore City,Ebenezer AME,"18 W. Montgomery St., Balto., MD 21230",12noon-1pm,Th
Soup Kitchen,Baltimore City,First Charity Baptist Church,"611 N. Asquith St., Balto., MD 21202",,Mon-Fri
Soup Kitchen,Baltimore City,First Mount Calvary Bapt. Ch.,"1142 N. Fulton Ave., Balto., MD 21217",11am-1pm,Wed
Soup Kitchen,Baltimore City,Foremost Mentor Care,"68 S. Koosuth St., Balto., MD 21229",12noon-4pm,"Sun,Sat"
Soup Kitchen,Baltimore City,Franciscan Center,"2212 Maryland Ave., Balto., MD 21218-5625",,"Mon, Thu, Fri"
Soup Kitchen,Baltimore City,Gentle Care,"4924 Carmine Ave., Balto., MD 21207",,"Sat, Sun"
Soup Kitchen,Baltimore City,Good Shepherd,"3459 Park Hgts. Ave., Balto., MD 21215",,
Soup Kitchen,Baltimore City,Gospel Tabernacle,"3100 Walbrook Ave., Balto., MD 21216",,Tue
Soup Kitchen,Baltimore City,Grace Memorial,"1100 N. Eden St., Balto., MD 21213",,Tue
Soup Kitchen,Baltimore City,H.E.R.O.,"1734 Maryland Ave., Balto., MD 21201",,Mon-Fri
Soup Kitchen,Baltimore City,H.E.R.O.,"2229 W. Joppa Rd., Balto., MD 21093",10:30am-1:30pm,Mon-Fri
Soup Kitchen,Baltimore City,Homestead UMC,"1500 Gorsuch Ave., Balto., MD 21218",10am-1pm,Tue-Sat
Soup Kitchen,Baltimore City,House of Ruth,"2201 Argonne Dr., Balto., MD 21218",,Shelter
Soup Kitchen,Baltimore City,I CAN,"2215 Greenmount Ave., Balto., MD 21218",,Everyday
Soup Kitchen,Baltimore City,IDEA Recovery,"609 Richwood Ave., Balto., MD 21212",,
Soup Kitchen,Baltimore City,Israel Baptist,"1211 N. Chester St., Balto., MD 21213",,
Soup Kitchen,Baltimore City,JB Outreach,"301 N. Stricker St., Balto., MD 21223",,
Soup Kitchen,Baltimore City,Manna House,"435 E 25th St., Balto., MD 21218",8:30am-10:30am,Mon-Fri
Soup Kitchen,Baltimore City,Mary Elizabeth Lange Center,"601 E. Chase St., Balto., MD 21202",,Everyday
Soup Kitchen,Baltimore City,Maryland Church of God,"5100 Denmore Ave., Balto., MD 21215",2pm-4:30pm,"Sat,Sun"
Soup Kitchen,Baltimore City,Maryland Community Kitchen,"3242 Eastern Ave., Balto., MD 21224",,Mon-Fri
Soup Kitchen,Baltimore City,Mason Memorial,"2608 Frederick Ave., Balto., MD 21223",,
Soup Kitchen,Baltimore City,Mount Tabor Baptist,"1719 E. Oliver St., Balto., MD 21213",,
Soup Kitchen,Baltimore City,My Sister's Place Lodge,"111 W. Mulberry St., Balto., MD 21201",,Shelter
Soup Kitchen,Baltimore City,New Friendship Baptist,"1515 E. Eager St., Balto., MD 21205",,Mon-Tue
Soup Kitchen,Baltimore City,New Life,"2417 E. North Ave., Balto., MD 21213",,Wed
Soup Kitchen,Baltimore City,Oasis Station,"220 Gay St., Balto., MD 21202",,Everyday
Soup Kitchen,Baltimore City,Our Daily Bread,"19 W. Franklin St., Balto., MD 21201",,Everyday
Soup Kitchen,Baltimore City,Paul's Place,"PO Box 27070, 1118 Ward St, Balto. MD 21230",11am-12:30pm,Mon-Fri
Soup Kitchen,Baltimore City,Pillar of Truth,"2522 Greenmount Ave., Balto., MD 21218",1pm-1:30pm,Fri
Soup Kitchen,Baltimore City,Project Plase,"2029 St. Paul St., Balto., MD 21218",,Everyday
Soup Kitchen,Baltimore City,S. Baltimore Emerg. Relief,"110 E. West St., Balto., MD 21230",12noon-2pm,Mon-Fri
