Record_ID,ObjectId,Store_Name,State,City,Additonal_Address,County,Grantee_Name,Incentive_Program,Latitude,Longitude,Store_Street_Address,Store_Type,Zip4,Zip_Code
1521303,107805,TRADER JOE'S COLLEGE PARK 758,MD,College Park,,Prince Georges,,,38.97839,-76.937767,4429 Calvert Rd,Supermarket,3358.0,20740
1090769,107821,Fort Carroll Market,DC,Washington,,Dist Of Columbia,,,38.837769,-77.006248,3705 Martin Luther King Jr Ave SE,Convenience Store,1549.0,20032
1521116,107879,Carroll Mart MD PETRO I,MD,Randallstown,,Baltimore,,,39.363987,-76.782867,8710 Liberty Rd,Convenience Store,4706.0,21133
1120930,108002,Intoto Llc,DC,Washington,,Dist Of Columbia,,,38.967831,-77.027794,6406 Georgia Ave NW,Other,2960.0,20012
1121096,108027,GW Supermarket Of Germantown Inc,MD,Germantown,,Montgomery,,,39.179249,-77.236809,19721 Frederick Rd,Super Store,1337.0,20876
1121113,108032,GW Supermarket Of Baltimore Inc,MD,Catonsville,,Baltimore,,,39.291313,-76.722176,5510 Baltimore National Pike,Super Store,1531.0,21228
1121408,108088,Walgreens 15284,MD,Baltimore,1.0,Baltimore City,,,39.300774,-76.58976,900 N Washington Blvd,Other,,21205
1690982,108098,Sam's Club 6650,MD,Rosedale,,Baltimore,,,39.334053,-76.487518,6410 Petrie Way,Super Store,3034.0,21237
1087095,108149,Mercado Cinco De Mayo,MD,Baltimore,,Baltimore City,,,39.28698,-76.568718,417 S Highland Ave,Supermarket,2314.0,21224
1618349,108227,Parkway Market,MD,Bladensburg,,Prince Georges,,,38.940285,-76.918472,5670 Annapolis Rd,Convenience Store,2206.0,20710
968278,108271,7-Eleven Inc F 32341C,MD,Elkton,,Cecil,,,39.598858,-75.819756,299 E Pulaski Hwy,Convenience Store,6433.0,21921
968282,108279,7-Eleven 33514A,MD,Baltimore,,Baltimore City,,,39.28941,-76.619507,300 W Baltimore St,Convenience Store,2504.0,21201
1687746,108377,Checkers #3051,MD,Rosedale,,Baltimore,,,39.3367,-76.480476,6210 Rossville Blvd,Restaurant Meals Program,2325.0,21237
1121717,108400,Harris Teeter 409,MD,Clarksburg,,Montgomery,,,39.22974,-77.250771,22700 Sweet Shrub Dr,Super Store,3328.0,20871
1121784,108407,Pixie Pizza & Sub,MD,Brooklyn,Ste 100,Baltimore City,,,39.250542,-76.622986,606 Cherry Hill Rd,Convenience Store,2056.0,21225
969012,108554,Family Dollar 8010,MD,Hurlock,,Dorchester,,,38.630028,-75.858772,200 Delaware Ave,Other,,21643
970272,108607,7-Eleven Inc F 32961,MD,Gaithersburg,,Montgomery,,,39.187359,-77.185463,9051 Snouffer School Rd,Convenience Store,1605.0,20879
970496,108621,Aldi 42,MD,Germantown,,Montgomery,,,39.198643,-77.247238,20904 Frederick Rd,Supermarket,4134.0,20876
