record_id,object_id,name,address,additional_address,city,county,state,zip,latitude,longitude,store_type
1374840,147884,Dollar Tree 7952,7230 Muncaster Mill Rd,,Derwood,Montgomery,MD,20855,39.146122,-77.145294,Other
1426618,147905,Express Deli & Grocery,4604 Eastern Ave,,Baltimore,Baltimore City,MD,21224,39.287239,-76.557083,Convenience Store
1379228,147933,7-Eleven 11537D,1313 Francis Ave,,Halethorpe,Baltimore,MD,21227,39.238407,-76.695107,Convenience Store
1379363,147967,E&C Enterprises Inc 39796A 2292,16201 New Hampshire Ave,,Silver Spring,Montgomery,MD,20905,39.121841,-76.988441,Convenience Store
1379367,147970,7-eleven 39815a 7301,20510 Frederick Rd,,Germantown,Montgomery,MD,20876,39.192738,-77.243011,Convenience Store
1379493,147999,Dash In 1464,7505 Old Branch Ave,,Clinton,Prince Georges,MD,20735,38.786407,-76.898293,Convenience Store
1379494,148000,G & A Food Market,1204 Druid Hill Ave,,Baltimore,Baltimore City,MD,21217,39.301369,-76.6278,Convenience Store
1259934,148090,Weis Markets 282,20995 Point Lookout Rd,,Callaway,St Marys,MD,20620,38.237823,-76.525368,Supermarket
1259935,148091,Weis Markets 283,19 St Mary's Sq,,Lexington Park,St Marys,MD,20653,38.260372,-76.46553,Supermarket
1259936,148092,Weis Markets 284,210 HG Trueman Rd,,Lusby,Calvert,MD,20657,38.372841,-76.440125,Supermarket
1259937,148093,Weis Markets 285,13300 HG Trueman Rd,,Solomons,Calvert,MD,20688,38.34766,-76.460205,Supermarket
1259970,148099,Walgreens 18308,2700 Remington Ave,Ste 500,Baltimore,Baltimore City,MD,21211,39.320599,-76.620857,Other
1259075,148237,7-eleven 37300a,3218 Pennsylvania Ave SE,,Washington,Dist Of Columbia,DC,20020,38.869011,-76.959587,Convenience Store
1259254,148277,Weis Markets 287,6551 Waterloo Rd,,Elkridge,Howard,MD,21075,39.187958,-76.797089,Supermarket
1259256,148279,Weis Markets 289,883 Russell Ave,,Gaithersburg,Montgomery,MD,20879,39.157173,-77.212585,Supermarket
