Record_ID,ObjectId,Store_Name,State,City,Additonal_Address,County,Grantee_Name,Incentive_Program,Latitude,Longitude,Store_Street_Address,Store_Type,Zip4,Zip_Code
1595593,243543,Dash In 1353,MD,Charlotte Hall,,ST MARYS,,,38.495636,-76.774452,30100 Three Notch Rd,Convenience Store,3158,20622
1596282,243663,Marathon Dumdalk,MD,Baltimore,,BALTIMORE CITY,,,39.282902,-76.535995,909 Dundalk Ave,Convenience Store,3016,21224
1613335,243669,Mart Plus,MD,Hagerstown,,WASHINGTON,,,39.639156,-77.714531,301 E Washington St,Convenience Store,5766,21740
1604572,243717,Carroll Mart,MD,Baltimore,,BALTIMORE CITY,,,39.296024,-76.5681,3505 Pulaski Hwy,Convenience Store,1533,21224
1607660,243869,TJ Mart,MD,Baltimore,,BALTIMORE CITY,,,39.285801,-76.637665,1240 W Pratt St,Convenience Store,2649,21223
1610326,243941,Adot International Market,MD,Mount Rainier,,PRINCE GEORGES,,,38.951,-76.966194,3111 Chillum Rd,Convenience Store,1037,20712
1606252,244462,La Despensa International Market,MD,Hagerstown,,WASHINGTON,,,39.624577,-77.733505,1069 Maryland Ave,Grocery Store,7201,21740
1602435,244577,Five Brother Convenience,MD,Baltimore,,BALTIMORE CITY,,,39.300323,-76.580116,801 N Glover St,Convenience Store,1609,21205
1663045,244617,South Pride Seafood,MD,Capitol Heights,,PRINCE GEORGES,,,38.887882,-76.901253,6224 Central Ave,Restaurant Meals Program,6128,20743
1608131,244684,BUBBA'S PLACE,MD,Newburg,,CHARLES,,,38.306149,-76.882401,15486 Rock Point Rd,Restaurant Meals Program,3208,20664
1609671,244767,Harford Rd Sunoco,MD,Parkville,,BALTIMORE,,,39.38039,-76.536606,8401 Harford Rd,Convenience Store,4637,21234
1613147,244771,Taylor Gas & Go,MD,Parkville,,BALTIMORE,,,39.381355,-76.56105,1701 Taylor Ave,Convenience Store,6109,21234
1615148,244801,Grocery Outlet Of Westminster 773,MD,Westminster,Ste D,CARROLL,,,39.584679,-76.986603,200 Clifton Blvd,Supermarket,2941,21157
1610629,244910,Bargain Outlet,MD,Baltimore,,BALTIMORE CITY,,,39.309887,-76.563255,4506 Erdman Ave,Convenience Store,2606,21213
1609532,244953,Hashtag 247 1,MD,Baltimore,,BALTIMORE CITY,,,39.347141,-76.689362,5455 Reisterstown Rd,Convenience Store,4404,21215
1610351,244989,Freshfarm Centronia Langley Park Market,MD,Takoma Park,,MONTGOMERY,,,38.986916,-76.985634,1345 University Blvd E,Farmers and Markets,7445,20912
1615345,244990,MOM's Organic Market 26,MD,Silver Spring,,MONTGOMERY,,,38.999222,-77.031364,8789 Georgia Ave,Super Store,3716,20910
1614739,245053,7-Eleven Inc. 36480J,MD,Bladensburg,,PRINCE GEORGES,,,38.939201,-76.933899,4907 Annapolis Rd,Convenience Store,1224,20710
1614545,245104,Par Mar Store 190,MD,Westernport,,ALLEGANY,,,39.447685,-78.971962,21413 Chesapeake Ave SW,Convenience Store,3005,21562
1617775,245150,KFC #G135307,MD,Upper Marlboro,S Robert S,PRINCE GEORGES,,,38.810326,-76.740204,5785 Crain Hwy,Restaurant Meals Program,4101,20772
1617513,245224,KFC #G135292,MD,La Plata,,CHARLES,,,38.529072,-76.982635,Rt. 301 & Rt. 6,Restaurant Meals Program,    ,20646
1633633,245343,Marathon,MD,Towson,,BALTIMORE,,,39.396496,-76.566269,1613 E Joppa Rd,Convenience Store,2122,21286
1617779,245382,KFC #G135312,MD,Odenton,,ANNE ARUNDEL,,,39.108807,-76.723267,1682 Annapolis Rd,Restaurant Meals Program,1096,21113
1617516,245389,KFC #G135293,MD,Millersville,,ANNE ARUNDEL,,,39.120502,-76.636269,8073 Veterans Hwy,Restaurant Meals Program,1446,21108
1617625,245421,KFC #G135294,MD,Waldorf,,CHARLES,,,38.651302,-76.881699,2180 Crain Hwy,Restaurant Meals Program,3146,20601
1617639,245428,KFC #G135296,MD,Upper Marlboro,,PRINCE GEORGES,,,38.89954,-76.791428,10 Watkins Park Dr,Restaurant Meals Program,1628,20774
1617888,245429,Rutter's 103,MD,Aberdeen,,Harford,,,39.491199,-76.190582,1051 S Philadelphia Blvd,Convenience Store,    ,21001
1611834,245453,Quick Mart Exxon,MD,Hagerstown,,WASHINGTON,,,39.666553,-77.700516,19348 Leitersburg Pike,Convenience Store,1436,21742
1617915,245478,Dash In 1832,MD,Ellicott City,,HOWARD,,,39.276447,-76.824966,9075 Baltimore National Pike,Convenience Store,3921,21042
1617829,245494,Wegmans Owings Mills 125,MD,Owings Mills,,BALTIMORE,,,39.412155,-76.772911,10100 Reisterstown Rd,Supermarket,3815,21117
1613429,245517,Grocery Outlet Of Cockeysville 755,MD,Cockeysville,,BALTIMORE,,,39.472641,-76.62252,598 Cranbrook Rd,Supermarket,3702,21030
1605170,245687,Oniyabode African Market,MD,Gwynn Oak,Ste N,BALTIMORE,,,39.316513,-76.737862,1808 Woodlawn Dr,Grocery Store,4023,21207
1615770,245729,Triple Fam,MD,Baltimore,1st Floor,BALTIMORE CITY,,,39.300308,-76.618378,847 Park Ave,Convenience Store,    ,21201
1641446,245768,Sonaimuri Convenience ,MD,Baltimore,,BALTIMORE CITY,,,39.289593,-76.648613,1956 W Fayette St,Convenience Store,1690,21223
1617382,245775,ALDI 71174,MD,Annapolis,,ANNE ARUNDEL,,,38.981663,-76.546432,133 Holiday Court,Supermarket,    ,21401
1617778,245795,KFC #G135310,MD,Prince Frederick,,CALVERT,,,38.546619,-76.59111,65 W Dares Beach Rd,Restaurant Meals Program,3109,20678
1617785,245815,KFC #G135760,MD,Thurmont,,FREDERICK,,,39.614223,-77.418289,1 Thurmont Blvd,Restaurant Meals Program,2000,21788
1617781,245817,KFC #G135314,MD,Linthicum Heights,,ANNE ARUNDEL,,,39.224636,-76.658012,708 Nursery Rd,Restaurant Meals Program,3122,21090
1635856,245884,Maru Grocery Store,MD,Baltimore,,BALTIMORE CITY,,,39.32127,-76.573914,3233 Belair Rd,Convenience Store,1227,21213
1648836,245894,Sofia Enterprise,MD,Baltimore,,BALTIMORE CITY,,,39.317616,-76.611481,2454 Barclay St,Convenience Store,5326,21218
1613291,245897,7-eleven 22921B,MD,Silver Spring,,MONTGOMERY,,,38.990532,-77.02359,8101 Fenton St,Convenience Store,4757,20910
1610847,245948,Family Food Market 1,MD,Capitol Heights,,PRINCE GEORGES,,,38.874104,-76.932991,4700 Marlboro Pike,Convenience Store,0743,20743
1617783,245967,KFC #G135321,MD,Bryans Road,,CHARLES,,,38.628963,-77.070473,302 Canberra Way,Restaurant Meals Program,    ,20616
1611003,246034,Snow Hill Food Rite ,MD,Snow Hill,,WORCESTER,,,38.179764,-75.388321,308 E Market St,Other,1017,21863
1616763,246035,Mhs Tobacco & Convenience,MD,Rosedale,,BALTIMORE,,,39.318867,-76.510941,8001 Pulaski Hwy,Convenience Store,2715,21237
665296,246071,7-Eleven 23120B,DC,Washington,,DIST OF COLUMBIA,,,38.911907,-77.022209,1622 7th St NW,Convenience Store,3204,20001
1681143,246086,24hr Discount Market 1,MD,Capitol Heights,,PRINCE GEORGES,,,38.866158,-76.917038,5249 Marlboro Pike,Convenience Store,5474,20743
1652722,246087,La Familia Supermarket,MD,Hyattsville,,PRINCE GEORGES,,,38.985218,-76.970009,2340 University Blvd E,Super Store,2600,20783
1615961,246152,Papayo Market #2,MD,Salisbury,,WICOMICO,,,38.368031,-75.617714,1147 Pemberton Dr,Grocery Store,2529,21801
1616220,246189,Gloria Indian And Spanish Grocery 4432924376,MD,Crofton,,ANNE ARUNDEL,,,38.991425,-76.698822,2173 Defense Hwy,Grocery Store,2401,21114
1622962,246190,Pereyra Farm,MD,Newark,,WORCESTER,,,38.213375,-75.342751,6182 Worcester Hwy,Farmers and Markets,2222,21841
